,year,winner,team_one,team_two,score_one,score_two
442,2011,Syracuse,Syracuse,Indiana State,77,60
443,2011,Marquette,Syracuse,Marquette,62,66
444,2011,Marquette,Xavier,Marquette,55,66
445,2011,Duke,Duke,Hampton,87,45
446,2011,Duke,Duke,Michigan,73,71
447,2011,Arizona,Duke,Arizona,77,93
448,2011,Connecticut,Arizona,Connecticut,63,65
449,2011,Michigan,Michigan,Tennessee,75,45
450,2005,Kentucky,Kentucky,Eastern Kentucky,72,64
451,2005,Kentucky,Kentucky,Cincinnati,69,60
452,2005,Kentucky,Kentucky,Utah,62,52
453,2005,Cincinnati,Cincinnati,Iowa,76,64
454,2005,Oklahoma,Oklahoma,Niagara,84,67
455,2005,Utah,Oklahoma,Utah,58,67
456,2005,Utah,Utah,UTEP,60,54
457,2008,Memphis,Memphis,Mississippi State,77,74
458,2008,Memphis,Memphis,Michigan State,92,74
459,2008,Memphis,Memphis,Texas,85,67
460,2008,Memphis,Memphis,UCLA,78,63
461,2008,Mississippi State,Mississippi State,Oregon,76,69
462,2008,Pittsburgh,Pittsburgh,Oral Roberts,82,63
463,2008,Michigan State,Pittsburgh,Michigan State,54,65
464,2008,Michigan State,Michigan State,Temple,72,61
465,2008,Texas,Texas,Austin Peay,74,54
466,2008,Texas,Texas,Miami (FL),75,72
467,2010,Purdue,Purdue,Texas A&M,63,61
468,2010,Texas A&M,Texas A&M,Utah State,69,53
469,2010,Villanova,Villanova,Robert Morris,73,70
470,2010,Saint Mary's,Villanova,Saint Mary's,68,75
471,2010,Baylor,Saint Mary's,Baylor,49,72
472,2010,Saint Mary's,Richmond,Saint Mary's,71,80
473,2010,Baylor,Baylor,Sam Houston State,68,59
474,2010,Baylor,Baylor,Old Dominion,76,68
475,2010,Old Dominion,Notre Dame,Old Dominion,50,51
476,2018,West Virginia,West Virginia,Murray State,85,68
477,2018,Purdue,Purdue,Cal State Fullerton,74,48
478,2018,Purdue,Purdue,Butler,76,73
479,2018,Texas Tech,Purdue,Texas Tech,65,78
480,2012,Xavier,Notre Dame,Xavier,63,67
481,2012,Baylor,Baylor,South Dakota State,68,60
482,2012,Baylor,Baylor,Colorado,80,63
483,2012,Colorado,UNLV,Colorado,64,68
484,2012,Michigan State,Michigan State,LIU Brooklyn,89,67
485,2009,Western Kentucky,Illinois,Western Kentucky,72,76
486,2009,Oklahoma,Oklahoma,Morgan State,82,54
487,2009,Oklahoma,Oklahoma,Michigan,73,63
488,2009,Oklahoma,Oklahoma,Syracuse,84,71
489,2009,Michigan,Clemson,Michigan,59,62
490,2009,Syracuse,Syracuse,Stephen F. Austin,59,44
491,2013,Michigan State,Michigan State,Valparaiso,65,54
492,2013,Michigan State,Michigan State,Memphis,70,48
493,2013,Memphis,Memphis,Saint Mary's,54,52
494,2013,Saint Mary's,Saint Mary's,Middle Tennessee,67,54
495,2013,Gonzaga,Gonzaga,Southern,64,58
496,2014,Saint Louis,Saint Louis,NC State,83,80
497,2014,NC State,NC State,Xavier,74,59
498,2014,Michigan,Michigan,Wofford,57,40
499,2014,Michigan,Michigan,Texas,85,77
500,2014,Michigan,Michigan,Tennessee,73,71
501,2014,Texas,Texas,Arizona State,87,85
502,2014,Mercer,Duke,Mercer,71,78
503,2015,Wichita State,Kansas,Wichita State,65,78
504,2015,Notre Dame,Wichita State,Notre Dame,70,81
505,2015,Wichita State,Wichita State,Indiana,81,76
506,2015,Notre Dame,Notre Dame,Northeastern,69,65
507,2015,Notre Dame,Notre Dame,Butler,67,64
508,2015,Butler,Butler,Texas,56,48
509,2015,Wisconsin,Wisconsin,Coastal Carolina,86,72
510,2016,Wichita State,Wichita State,Vanderbilt,70,50
511,2016,Oregon,Oregon,Holy Cross,91,52
512,2016,Oregon,Oregon,Saint Joseph's,69,64
513,2016,Oregon,Oregon,Duke,82,68
514,2016,Oklahoma,Oregon,Oklahoma,68,80
515,2016,Holy Cross,Holy Cross,Southern,59,55
516,2016,Saint Joseph's,Saint Joseph's,Cincinnati,78,76
517,2016,Duke,Duke,UNC Wilmington,93,85
518,2006,Duke,Duke,George Washington,71,64
519,2006,LSU,Duke,LSU,54,62
520,2006,LSU,LSU,Texas,70,60
521,2006,UCLA,LSU,UCLA,45,59
522,2006,George Washington,George Washington,UNC Wilmington,88,85
523,2006,LSU,LSU,Iona,80,64
524,2006,LSU,LSU,Texas A&M,58,57
525,2006,Texas A&M,Syracuse,Texas A&M,58,66
526,2006,Texas,Texas,Penn,60,52
527,2017,Florida,Florida,Virginia,65,39
528,2017,Virginia,Virginia,UNC Wilmington,76,71
529,2017,Duke,Duke,Troy State,87,65
530,2017,South Carolina,Duke,South Carolina,81,88
531,2017,South Carolina,South Carolina,Baylor,70,50
