,ast_pct,blk_pct,efg_pct,fg3a_per_fga_pct,ft_rate,fta_per_fga_pct,g,losses,losses_conf,losses_home,losses_visitor,off_rtg,opp_pts,orb_pct,pace,pts,school_name,sos,srs,stl_pct,tov_pct,trb_pct,ts_pct,win_loss_pct,wins,wins_conf,wins_home,wins_visitor
216,54.6,9.9,.464,.289,.228,.335,33,19,14,8,9,101.1,2403,35.3,70.4,2383,North Carolina,10.05,9.45,7.8,15.2,55.0,.500,.424,14,6,7,3
217,47.0,5.8,.526,.454,.261,.327,33,8,3,1,6,109.8,2183,23.1,67.8,2467,North Dakota State,-3.94,2.19,6.8,13.2,52.6,.569,.758,25,13,13,8
218,49.6,5.5,.525,.407,.267,.351,33,18,9,3,13,105.4,2467,26.0,70.5,2470,North Dakota,-1.38,-6.24,6.4,16.7,51.9,.565,.455,15,7,8,4
219,58.2,8.2,.549,.522,.210,.275,33,12,3,2,9,112.5,2416,28.4,69.6,2583,North Florida,-3.25,-0.57,7.1,14.9,48.8,.578,.636,21,13,13,7
220,49.6,8.7,.561,.410,.232,.309,31,11,4,3,6,109.0,1962,29.7,64.9,2203,North Texas,1.66,7.32,9.6,18.4,52.4,.590,.645,20,14,13,7
221,51.3,5.3,.548,.402,.202,.256,33,16,9,6,7,107.7,2191,24.4,65.8,2347,Northeastern,-3.28,1.45,11.5,16.2,50.6,.579,.515,17,9,7,7
222,51.4,5.9,.508,.347,.215,.307,30,14,10,5,8,104.4,2081,27.5,67.7,2128,Northern Arizona,-2.40,-4.65,9.6,14.9,50.7,.537,.533,16,10,9,6
223,49.7,5.5,.556,.461,.174,.261,31,9,5,3,5,111.8,1945,25.4,65.9,2303,Northern Colorado,-2.80,5.72,7.6,13.5,51.4,.572,.710,22,15,11,9
224,41.4,8.8,.476,.364,.189,.281,31,13,7,4,9,100.4,1998,31.2,66.2,2071,Northern Illinois,-2.16,-1.33,8.4,15.1,52.9,.504,.581,18,11,11,7
225,44.9,6.4,.556,.415,.200,.264,31,6,4,0,4,112.8,2006,29.8,65.9,2330,Northern Iowa,1.45,9.83,6.9,15.7,55.2,.583,.806,25,14,16,8
